Table,Column,DataType,Grain,Definition,Numerator,Denominator,SourceArtifact,Transformation,PublicDisclosureClassification,Caveat,IntendedVisualOrMeasure
DimSchemaFamily,DisplayOrder,Whole number,One row per approved historical source-schema family,Schema-family sort order,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Chronological,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort field
DimSchemaFamily,DisclosureClass,Text,One row per approved historical source-schema family,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
DimProjectStage,StageKey,Text,One row per project stage,Project-stage key,,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Controlled key,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
DimProjectStage,StageName,Text,One row per project stage,Project-stage label,,,public_portfolio/METHODOLOGY.md,Controlled vocabulary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Axis and matrix
DimProjectStage,StageOrder,Whole number,One row per project stage,Project-stage order,,,public_portfolio/METHODOLOGY.md,Workflow order,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort field
DimProjectStage,StagePurpose,Text,One row per project stage,Plain-language purpose,,,public_portfolio/METHODOLOGY.md,Summarized,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
DimProjectStage,DisclosureClass,Text,One row per project stage,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
DimMetric,MetricKey,Text,One row per dashboard metric,Metric key,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Controlled key,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
DimMetric,MetricGroup,Text,One row per dashboard metric,Metric family,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Visual filter
DimMetric,MetricName,Text,One row per dashboard metric,Display name,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Axis and tooltip
DimMetric,Unit,Text,One row per dashboard metric,Measurement unit,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
DimMetric,FormatString,Text,One row per dashboard metric,Recommended Power BI number format,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Model formatting
DimMetric,MetricDefinition,Text,One row per dashboard metric,Metric definition,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip and dictionary
DimMetric,DisplayOrder,Whole number,One row per dashboard metric,Metric sort order,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort field
DimMetric,DisclosureClass,Text,One row per dashboard metric,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
DimClinicalDomain,ClinicalDomainKey,Text,One row per clinical or enhancement domain,Clinical-domain key,,,public_portfolio/METHODOLOGY.md,Controlled key,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
DimClinicalDomain,ClinicalDomainName,Text,One row per clinical or enhancement domain,Clinical-domain label,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Axis and table
DimClinicalDomain,DisplayOrder,Whole number,One row per clinical or enhancement domain,Domain sort order,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort field
DimClinicalDomain,DisclosureClass,Text,One row per clinical or enhancement domain,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
DimCodingMap,CodingMapKey,Text,One row per source-code-system to grouping rule,Coding-map key,,,public_portfolio/METHODOLOGY.md,Controlled key,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden key
DimCodingMap,SourceCodeSystem,Text,One row per source-code-system to grouping rule,Input code system,,,public_portfolio/METHODOLOGY.md,Method summary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
DimCodingMap,ApplicablePeriod,Text,One row per source-code-system to grouping rule,Applicable period or availability condition,,,public_portfolio/METHODOLOGY.md,Method summary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
DimCodingMap,TargetGrouping,Text,One row per source-code-system to grouping rule,Decoder or grouping target,,,public_portfolio/METHODOLOGY.md,Method summary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
DimCodingMap,Guardrail,Text,One row per source-code-system to grouping rule,Interpretation limitation,,,public_portfolio/METHODOLOGY.md,Method summary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
DimCodingMap,DisplayOrder,Whole number,One row per source-code-system to grouping rule,Display order,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort field
DimCodingMap,DisclosureClass,Text,One row per source-code-system to grouping rule,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
DimModelSpec,ModelSpecKey,Text,One row per M1-M3 model stage,Model-stage key,,,public_portfolio/METHODOLOGY.md,Controlled key,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
DimModelSpec,ModelLabel,Text,One row per M1-M3 model stage,Model-stage label,,,public_portfolio/METHODOLOGY.md,Frozen model sequence,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
DimModelSpec,ModelOrder,Whole number,One row per M1-M3 model stage,Model-stage order,,,public_portfolio/METHODOLOGY.md,Frozen model sequence,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort field
DimModelSpec,PlainLanguageDefinition,Text,One row per M1-M3 model stage,Nontechnical model explanation,,,public_portfolio/METHODOLOGY.md,Summarized,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table and tooltip
DimModelSpec,FixedEffectsSummary,Text,One row per M1-M3 model stage,Fixed-effects summary,,,public_portfolio/METHODOLOGY.md,Summarized,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
DimModelSpec,ClusteringSummary,Text,One row per M1-M3 model stage,Inference clustering summary,,,public_portfolio/METHODOLOGY.md,Summarized,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
DimModelSpec,DisclosureClass,Text,One row per M1-M3 model stage,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
FactProjectCoverage,ProjectMetricKey,Text,One row per high-level project metric,Project-metric row key,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Generated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden key
FactProjectCoverage,MetricKey,Text,One row per high-level project metric,Metric foreign key,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Mapped to DimMetric,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
FactProjectCoverage,MetricValue,Whole number,One row per high-level project metric,Validated aggregate metric value,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Allowlisted extraction,PUBLIC_SAFE_PROJECT_METADATA,Aggregate project metadata or explicitly synthetic; never encounter-level,Cards and measures
FactProjectCoverage,MetricStatus,Text,One row per high-level project metric,Validation status,,,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,Controlled vocabulary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
FactProjectCoverage,AsOfDate,Date,One row per high-level project metric,Evidence snapshot date,,,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,Source date,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
FactProjectCoverage,SourceArtifactKey,Text,One row per high-level project metric,Provenance source key,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Mapped to provenance ledger,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden metadata
FactProjectCoverage,DisclosureClass,Text,One row per high-level project metric,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
FactPartitionStatus,PartitionKey,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,Partition-status row key,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Generated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden key
FactPartitionStatus,PeriodKey,Whole number,One row per calendar quarter from 2005 Q1 through 2025 Q4,Period foreign key,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Mapped to DimPeriod,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
FactPartitionStatus,SchemaFamilyKey,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,Schema-family foreign key; blank when excluded,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Frozen family rules,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
FactPartitionStatus,PartitionStatus,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,COMPLETE or EXCLUDED,,,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,Controlled vocabulary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Matrix status
FactPartitionStatus,ReconciliationStatus,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,PASS or NOT_APPLICABLE,,,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,Controlled vocabulary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Matrix status
FactPartitionStatus,AvailableFlag,Whole number,One row per calendar quarter from 2005 Q1 through 2025 Q4,"1 if included, otherwise 0",Included quarter,Calendar quarter,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Generated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Column chart
FactPartitionStatus,ExclusionReason,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,Reason a quarter is not processed,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Frozen scope,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
FactPartitionStatus,DiagnosisCodeEra,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,ICD diagnosis era,,,public_portfolio/METHODOLOGY.md,Quarter-aware rule,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
FactPartitionStatus,LengthOfStayAvailability,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,LOS granularity and period limitation,,,public_portfolio/METHODOLOGY.md,Comparability rule,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
FactPartitionStatus,SourceClass,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,Data-source classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden metadata
FactPartitionStatus,DisclosureClass,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
FactEnhancementCoverage,EnhancementKey,Text,"One row per implemented, proxy, or structurally unavailable enhancement",Enhancement key,,,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,Controlled key,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden key
FactEnhancementCoverage,ClinicalDomainKey,Text,"One row per implemented, proxy, or structurally unavailable enhancement",Clinical-domain foreign key,,,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,Curated mapping,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
FactEnhancementCoverage,EnhancementName,Text,"One row per implemented, proxy, or structurally unavailable enhancement",Enhancement label,,,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table and axis
FactEnhancementCoverage,ImplementationStatus,Text,"One row per implemented, proxy, or structurally unavailable enhancement","IMPLEMENTED, IMPLEMENTED_PRIMARY_ONLY, PROXY_ONLY, or STRUCTURALLY_UNAVAILABLE",,,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,Controlled vocabulary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Bar and legend
FactEnhancementCoverage,AvailabilityScope,Text,"One row per implemented, proxy, or structurally unavailable enhancement",Period or source-field availability,,,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,Summarized,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
FactEnhancementCoverage,MethodSummary,Text,"One row per implemented, proxy, or structurally unavailable enhancement",Plain-language method,,,public_portfolio/METHODOLOGY.md,Summarized,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
FactEnhancementCoverage,InterpretationGuardrail,Text,"One row per implemented, proxy, or structurally unavailable enhancement",Required limitation,,,public_portfolio/METHODOLOGY.md,Summarized,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
FactEnhancementCoverage,DisplayOrder,Whole number,"One row per implemented, proxy, or structurally unavailable enhancement",Display order,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort field
FactEnhancementCoverage,SourceArtifactKey,Text,"One row per implemented, proxy, or structurally unavailable enhancement",Provenance source key,,,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,Mapped,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden metadata
FactEnhancementCoverage,DisclosureClass,Text,"One row per implemented, proxy, or structurally unavailable enhancement",Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
FactProviderMeasurement,ProviderMetricKey,Text,One row per public-safe provider measurement metric,Provider metric row key,,,public_portfolio/evidence/provider_v2_summary.json,Generated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden key
FactProviderMeasurement,MetricKey,Text,One row per public-safe provider measurement metric,Metric foreign key,,,public_portfolio/evidence/provider_v2_summary.json,Mapped to DimMetric,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
FactProviderMeasurement,MetricValue,Whole number,One row per public-safe provider measurement metric,Validated aggregate metric value,,,public_portfolio/evidence/provider_v2_summary.json,Allowlisted extraction,PUBLIC_SAFE_PROJECT_METADATA,Aggregate project metadata or explicitly synthetic; never encounter-level,Cards and bar
FactProviderMeasurement,MetricStatus,Text,One row per public-safe provider measurement metric,Validation status,,,public_portfolio/evidence/provider_v2_summary.json,Controlled vocabulary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
FactProviderMeasurement,MeasurementScope,Text,One row per public-safe provider measurement metric,Provider population represented,,,public_portfolio/evidence/provider_v2_summary.json,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
FactProviderMeasurement,SourceArtifactKey,Text,One row per public-safe provider measurement metric,Provenance source key,,,public_portfolio/evidence/provider_v2_summary.json,Mapped,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden metadata
FactProviderMeasurement,DisclosureClass,Text,One row per public-safe provider measurement metric,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
FactValidationStatus,ValidationKey,Text,One row per high-value validation control,Validation-check key,,,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,Controlled key,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden key
FactValidationStatus,StageKey,Text,One row per high-value validation control,Project-stage foreign key,,,public_portfolio/METHODOLOGY.md,Curated mapping,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
FactValidationStatus,ValidationCheck,Text,One row per high-value validation control,Validation-control label,,,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table and axis
FactValidationStatus,ValidationStatus,Text,One row per high-value validation control,PASS or PAUSED_VERIFIED,,,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,Controlled vocabulary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Status visual
FactValidationStatus,EvidenceSummary,Text,One row per high-value validation control,Non-sensitive evidence summary,,,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,Allowlisted summary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table and tooltip
FactValidationStatus,CheckOrder,Whole number,One row per high-value validation control,Validation-check order,,,public_portfolio/METHODOLOGY.md,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort field
FactValidationStatus,SourceArtifactKey,Text,One row per high-value validation control,Provenance source key,,,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,Mapped,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden metadata
FactValidationStatus,DisclosureClass,Text,One row per high-value validation control,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
FactAnalyticalStatus,AnalyticalStatusKey,Text,One row per project or analytical component,Component-status key,,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Controlled key,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden key
FactAnalyticalStatus,StageKey,Text,One row per project or analytical component,Project-stage foreign key,,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Curated mapping,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
FactAnalyticalStatus,ModelSpecKey,Text,One row per project or analytical component,Optional M1-M3 foreign key,,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Curated mapping,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
FactAnalyticalStatus,ComponentName,Text,One row per project or analytical component,Project-component label,,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Status matrix
FactAnalyticalStatus,ComponentStatus,Text,One row per project or analytical component,"COMPLETE, IN PROGRESS, PENDING, or DEFERRED",,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Controlled vocabulary,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Status chart
FactAnalyticalStatus,StatusOrder,Whole number,One row per project or analytical component,Component-status sort order,,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Controlled mapping,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort field
FactAnalyticalStatus,IndependentAuditStatus,Text,One row per project or analytical component,"PASS, PENDING, or NOT_APPLICABLE",,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Separate from file existence,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Status matrix
FactAnalyticalStatus,NextAction,Text,One row per project or analytical component,Required continuation step,,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Handoff table
FactAnalyticalStatus,StatusAsOf,Date,One row per project or analytical component,Status checkpoint date,,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Checkpoint date,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Subtitle
FactAnalyticalStatus,SourceArtifactKey,Text,One row per project or analytical component,Provenance source key,,,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,Mapped,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden metadata
FactAnalyticalStatus,DisclosureClass,Text,One row per project or analytical component,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
FactSyntheticDemonstration,DemoMetricKey,Text,One row per fictional demonstration metric,Synthetic demonstration metric key,,,public_portfolio/synthetic_demo/expected_outputs/qa_summary.json,Generated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden key
FactSyntheticDemonstration,DemoSection,Text,One row per fictional demonstration metric,Synthetic demonstration section,,,public_portfolio/synthetic_demo/expected_outputs/qa_summary.json,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Visual filter
FactSyntheticDemonstration,Category,Text,One row per fictional demonstration metric,Fictional category or schema family,,,public_portfolio/synthetic_demo/expected_outputs/schema_reconciliation.csv,Copied from fictional output,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Axis
FactSyntheticDemonstration,MetricName,Text,One row per fictional demonstration metric,Synthetic metric label,,,public_portfolio/synthetic_demo/expected_outputs/schema_reconciliation.csv,Curated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Legend
FactSyntheticDemonstration,MetricValue,Whole number,One row per fictional demonstration metric,Synthetic metric value,,,public_portfolio/synthetic_demo/expected_outputs/schema_reconciliation.csv,Copied from fictional output,PUBLIC_SAFE_PROJECT_METADATA,Aggregate project metadata or explicitly synthetic; never encounter-level,Chart value
FactSyntheticDemonstration,DemoStatus,Text,One row per fictional demonstration metric,Synthetic validation status,,,public_portfolio/synthetic_demo/expected_outputs/qa_summary.json,Copied,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
FactSyntheticDemonstration,SyntheticFlag,True/False,One row per fictional demonstration metric,Always true,,,public_portfolio/synthetic_demo/expected_outputs/qa_summary.json,Validation flag,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Disclosure guardrail
FactSyntheticDemonstration,SourceArtifactKey,Text,One row per fictional demonstration metric,Provenance source key,,,public_portfolio/synthetic_demo/expected_outputs/qa_summary.json,Mapped,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Hidden metadata
FactSyntheticDemonstration,DisclosureClass,Text,One row per fictional demonstration metric,Synthetic public-safe classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
