DashboardElement,ElementType,Definition,ControllingSourceArtifact,SourceSHA256,ExtractionMethod,ValidationStatus,SourceClass,PublicDisclosureDecision,DisclosureRationale
DimProjectStage.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
DimMetric.MetricKey,Field,Metric key,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Controlled key,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimMetric.MetricGroup,Field,Metric family,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimMetric.MetricName,Field,Display name,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimMetric.Unit,Field,Measurement unit,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimMetric.FormatString,Field,Recommended Power BI number format,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimMetric.MetricDefinition,Field,Metric definition,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimMetric.DisplayOrder,Field,Metric sort order,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimMetric.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
DimClinicalDomain.ClinicalDomainKey,Field,Clinical-domain key,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Controlled key,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimClinicalDomain.ClinicalDomainName,Field,Clinical-domain label,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimClinicalDomain.DisplayOrder,Field,Domain sort order,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimClinicalDomain.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
DimCodingMap.CodingMapKey,Field,Coding-map key,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Controlled key,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimCodingMap.SourceCodeSystem,Field,Input code system,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Method summary,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimCodingMap.ApplicablePeriod,Field,Applicable period or availability condition,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Method summary,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimCodingMap.TargetGrouping,Field,Decoder or grouping target,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Method summary,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimCodingMap.Guardrail,Field,Interpretation limitation,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Method summary,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimCodingMap.DisplayOrder,Field,Display order,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimCodingMap.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
DimModelSpec.ModelSpecKey,Field,Model-stage key,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Controlled key,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimModelSpec.ModelLabel,Field,Model-stage label,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Frozen model sequence,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimModelSpec.ModelOrder,Field,Model-stage order,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Frozen model sequence,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimModelSpec.PlainLanguageDefinition,Field,Nontechnical model explanation,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Summarized,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimModelSpec.FixedEffectsSummary,Field,Fixed-effects summary,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Summarized,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimModelSpec.ClusteringSummary,Field,Inference clustering summary,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Summarized,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimModelSpec.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
FactProjectCoverage.ProjectMetricKey,Field,Project-metric row key,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Generated,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProjectCoverage.MetricKey,Field,Metric foreign key,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Mapped to DimMetric,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProjectCoverage.MetricValue,Field,Validated aggregate metric value,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Allowlisted extraction,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProjectCoverage.MetricStatus,Field,Validation status,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,Controlled vocabulary,PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProjectCoverage.AsOfDate,Field,Evidence snapshot date,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,Source date,PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProjectCoverage.SourceArtifactKey,Field,Provenance source key,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Mapped to provenance ledger,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProjectCoverage.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.PartitionKey,Field,Partition-status row key,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Generated,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.PeriodKey,Field,Period foreign key,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Mapped to DimPeriod,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.SchemaFamilyKey,Field,Schema-family foreign key; blank when excluded,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Frozen family rules,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.PartitionStatus,Field,COMPLETE or EXCLUDED,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,Controlled vocabulary,PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.ReconciliationStatus,Field,PASS or NOT_APPLICABLE,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,Controlled vocabulary,PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.AvailableFlag,Field,"1 if included, otherwise 0",outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Generated,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.ExclusionReason,Field,Reason a quarter is not processed,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Frozen scope,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.DiagnosisCodeEra,Field,ICD diagnosis era,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Quarter-aware rule,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.LengthOfStayAvailability,Field,LOS granularity and period limitation,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Comparability rule,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.SourceClass,Field,Data-source classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Curated,PASS,sanitized disclosure policy,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactPartitionStatus.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
FactEnhancementCoverage.EnhancementKey,Field,Enhancement key,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,6dc8fe59912703773c4fe6d305593469f5e91b26e2abcff6ad3b08bf64b81581,Controlled key,PASS,metadata dictionary,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactEnhancementCoverage.ClinicalDomainKey,Field,Clinical-domain foreign key,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,6dc8fe59912703773c4fe6d305593469f5e91b26e2abcff6ad3b08bf64b81581,Curated mapping,PASS,metadata dictionary,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactEnhancementCoverage.EnhancementName,Field,Enhancement label,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,6dc8fe59912703773c4fe6d305593469f5e91b26e2abcff6ad3b08bf64b81581,Curated,PASS,metadata dictionary,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactEnhancementCoverage.ImplementationStatus,Field,"IMPLEMENTED, IMPLEMENTED_PRIMARY_ONLY, PROXY_ONLY, or STRUCTURALLY_UNAVAILABLE",outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,6dc8fe59912703773c4fe6d305593469f5e91b26e2abcff6ad3b08bf64b81581,Controlled vocabulary,PASS,metadata dictionary,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactEnhancementCoverage.AvailabilityScope,Field,Period or source-field availability,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,6dc8fe59912703773c4fe6d305593469f5e91b26e2abcff6ad3b08bf64b81581,Summarized,PASS,metadata dictionary,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactEnhancementCoverage.MethodSummary,Field,Plain-language method,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Summarized,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactEnhancementCoverage.InterpretationGuardrail,Field,Required limitation,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Summarized,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactEnhancementCoverage.DisplayOrder,Field,Display order,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactEnhancementCoverage.SourceArtifactKey,Field,Provenance source key,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,6dc8fe59912703773c4fe6d305593469f5e91b26e2abcff6ad3b08bf64b81581,Mapped,PASS,metadata dictionary,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactEnhancementCoverage.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
FactProviderMeasurement.ProviderMetricKey,Field,Provider metric row key,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,Generated,PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProviderMeasurement.MetricKey,Field,Metric foreign key,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,Mapped to DimMetric,PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProviderMeasurement.MetricValue,Field,Validated aggregate metric value,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,Allowlisted extraction,PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProviderMeasurement.MetricStatus,Field,Validation status,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,Controlled vocabulary,PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProviderMeasurement.MeasurementScope,Field,Provider population represented,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,Curated,PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProviderMeasurement.SourceArtifactKey,Field,Provenance source key,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,Mapped,PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactProviderMeasurement.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
FactValidationStatus.ValidationKey,Field,Validation-check key,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,Controlled key,PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactValidationStatus.StageKey,Field,Project-stage foreign key,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated mapping,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactValidationStatus.ValidationCheck,Field,Validation-control label,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,Curated,PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
