MeasureID,DisplayFolder,MeasureName,Definition,FormatString,DAXExpression,SourceTables,SourceArtifactKeys,ValidationRule,ApplicableFilters,Caveat,DisclosureClass
DAX011,Cohorts,Primary Cohort Rows,Maximum allowlisted value for M008,"#,##0","CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M008"")",FactProjectCoverage,SRC_COHORT_PUBLIC,"Must equal 119,543,044",None,Encounter rows; not unique patients,PUBLIC_SAFE_PROJECT_METADATA
DAX012,Cohorts,Historical Cohort Rows,Maximum allowlisted value for M010,"#,##0","CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M010"")",FactProjectCoverage,SRC_HISTORICAL_PUBLIC,"Must equal 23,304,846",None,Kept separate from primary cohort,PUBLIC_SAFE_PROJECT_METADATA
DAX013,Provider,Provider Master V2 NPIs,Maximum allowlisted value for PM001,"#,##0","CALCULATE(MAX('FactProviderMeasurement'[MetricValue]), 'FactProviderMeasurement'[MetricKey] = ""PM001"")",FactProviderMeasurement,SRC_PROVIDER_PUBLIC,"Must equal 1,813,546",None,"NPI count, not visit count",PUBLIC_SAFE_PROJECT_METADATA
DAX014,Provider,ED-Observed NPIs,Maximum allowlisted value for PM002,"#,##0","CALCULATE(MAX('FactProviderMeasurement'[MetricValue]), 'FactProviderMeasurement'[MetricKey] = ""PM002"")",FactProviderMeasurement,SRC_PROVIDER_PUBLIC,"Must equal 83,541",None,Validated selected ED roles,PUBLIC_SAFE_PROJECT_METADATA
DAX015,Provider,Newly Added ED-Observed NPIs,Maximum allowlisted value for PM004,"#,##0","CALCULATE(MAX('FactProviderMeasurement'[MetricValue]), 'FactProviderMeasurement'[MetricKey] = ""PM004"")",FactProviderMeasurement,SRC_PROVIDER_PUBLIC,"Must equal 7,751",None,Measurement coverage correction,PUBLIC_SAFE_PROJECT_METADATA
DAX016,Provider,Provider Coverage Gain %,Newly added ED-observed NPIs divided by ED-observed NPIs,0.0%,"DIVIDE([Newly Added ED-Observed NPIs], [ED-Observed NPIs])",FactProviderMeasurement,SRC_PROVIDER_PUBLIC,Must equal source-derived ratio,None,"Describes NPI coverage, not causal selection correction",PUBLIC_SAFE_PROJECT_METADATA
DAX017,Provider,ED-Observed MD/DO NPIs,Maximum allowlisted value for PM007,"#,##0","CALCULATE(MAX('FactProviderMeasurement'[MetricValue]), 'FactProviderMeasurement'[MetricKey] = ""PM007"")",FactProviderMeasurement,SRC_PROVIDER_PUBLIC,"Must equal 65,912",None,Organizations excluded,PUBLIC_SAFE_PROJECT_METADATA
DAX018,Provider,Organizational NPIs Classified as Physicians,Maximum allowlisted value for PM010,0,"CALCULATE(MAX('FactProviderMeasurement'[MetricValue]), 'FactProviderMeasurement'[MetricKey] = ""PM010"")",FactProviderMeasurement,SRC_PROVIDER_PUBLIC,Must equal zero,None,Fail-closed safeguard,PUBLIC_SAFE_PROJECT_METADATA
DAX033,Provider,Facility Dimension Rows,Maximum allowlisted value for M006,"#,##0","CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M006"")",FactProjectCoverage,SRC_P1_QA,Must equal 240,None,One row per state facility identifier in the private dimension; no identifiers are displayed,PUBLIC_SAFE_PROJECT_METADATA
DAX019,Enhancements,Enhancement Count,Number of enhancement rows,0,COUNTROWS('FactEnhancementCoverage'),FactEnhancementCoverage,SRC_FACT_DICTIONARY,Must equal 20,Clinical domain and status filters,Curated capability inventory,PUBLIC_SAFE_PROJECT_METADATA
DAX020,Enhancements,Implemented Enhancements,Count implemented and primary-only implemented enhancements,0,"CALCULATE(COUNTROWS('FactEnhancementCoverage'), 'FactEnhancementCoverage'[ImplementationStatus] IN {""IMPLEMENTED"", ""IMPLEMENTED_PRIMARY_ONLY""})",FactEnhancementCoverage,SRC_FACT_DICTIONARY,Must equal 15,Clinical domain filters,Primary-only scope must remain visible,PUBLIC_SAFE_PROJECT_METADATA
DAX021,Enhancements,Proxy-Only Enhancements,Count proxy-only enhancements,0,"CALCULATE(COUNTROWS('FactEnhancementCoverage'), 'FactEnhancementCoverage'[ImplementationStatus] = ""PROXY_ONLY"")",FactEnhancementCoverage,SRC_FACT_DICTIONARY,Must equal 1,Clinical domain filters,E/M acuity is not triage,PUBLIC_SAFE_PROJECT_METADATA
DAX022,Enhancements,Structurally Unavailable Measures,Count structurally unavailable requested measures,0,"CALCULATE(COUNTROWS('FactEnhancementCoverage'), 'FactEnhancementCoverage'[ImplementationStatus] = ""STRUCTURALLY_UNAVAILABLE"")",FactEnhancementCoverage,SRC_FACT_DICTIONARY,Must equal 4,Clinical domain filters,Unavailable values were not fabricated,PUBLIC_SAFE_PROJECT_METADATA
DAX023,Validation,Validation Controls,Number of high-value validation controls,0,COUNTROWS('FactValidationStatus'),FactValidationStatus,SRC_P1_QA,Must equal 20,Stage filters,"Curated dashboard controls, not every underlying test",PUBLIC_SAFE_PROJECT_METADATA
DAX024,Validation,Passed Validation Controls,Count controls with PASS,0,"CALCULATE(COUNTROWS('FactValidationStatus'), 'FactValidationStatus'[ValidationStatus] = ""PASS"")",FactValidationStatus,SRC_P1_QA,Must equal 19,Stage filters,Pause checkpoint is separately PAUSED_VERIFIED,PUBLIC_SAFE_PROJECT_METADATA
DAX025,Validation,Validation Pass %,PASS controls divided by controls excluding the pause-state row,0.0%,"DIVIDE([Passed Validation Controls], CALCULATE(COUNTROWS('FactValidationStatus'), 'FactValidationStatus'[ValidationStatus] <> ""PAUSED_VERIFIED""))",FactValidationStatus,SRC_P1_QA,Must equal 100.0%,Stage filters,Does not imply analytical release PASS,PUBLIC_SAFE_PROJECT_METADATA
DAX026,Status,Completed Components,Count components labeled COMPLETE,0,"CALCULATE(COUNTROWS('FactAnalyticalStatus'), 'FactAnalyticalStatus'[ComponentStatus] = ""COMPLETE"")",FactAnalyticalStatus,SRC_PAUSE,Must equal component status table,Stage filters,Completion and audit are separate columns,PUBLIC_SAFE_PROJECT_METADATA
DAX027,Status,Pending Components,Count components labeled PENDING,0,"CALCULATE(COUNTROWS('FactAnalyticalStatus'), 'FactAnalyticalStatus'[ComponentStatus] = ""PENDING"")",FactAnalyticalStatus,SRC_PAUSE,Must equal component status table,Stage filters,Pending does not mean failed,PUBLIC_SAFE_PROJECT_METADATA
DAX028,Status,Deferred Components,Count components labeled DEFERRED,0,"CALCULATE(COUNTROWS('FactAnalyticalStatus'), 'FactAnalyticalStatus'[ComponentStatus] = ""DEFERRED"")",FactAnalyticalStatus,SRC_PAUSE,Must equal component status table,Stage filters,Deferred by user,PUBLIC_SAFE_PROJECT_METADATA
DAX029,Synthetic,Synthetic Input Rows,Sum synthetic input rows in schema reconciliation section,"#,##0","CALCULATE(SUM('FactSyntheticDemonstration'[MetricValue]), 'FactSyntheticDemonstration'[DemoSection] = ""Schema reconciliation"", 'FactSyntheticDemonstration'[MetricName] = ""Input rows"")",FactSyntheticDemonstration,SRC_SYNTHETIC_SCHEMA,Must equal 800,Synthetic section filter,Fictional only,PUBLIC_SAFE_PROJECT_METADATA
DAX030,Synthetic,Synthetic Output Rows,Sum synthetic output rows in schema reconciliation section,"#,##0","CALCULATE(SUM('FactSyntheticDemonstration'[MetricValue]), 'FactSyntheticDemonstration'[DemoSection] = ""Schema reconciliation"", 'FactSyntheticDemonstration'[MetricName] = ""Output rows"")",FactSyntheticDemonstration,SRC_SYNTHETIC_SCHEMA,Must equal 800,Synthetic section filter,Fictional only,PUBLIC_SAFE_PROJECT_METADATA
DAX031,Dynamic text,Selected Period Label,Dynamic selected-period label,General,"VAR MinYear = MIN('DimPeriod'[Year])
VAR MaxYear = MAX('DimPeriod'[Year])
RETURN IF(NOT ISFILTERED('DimPeriod'[Year]) && NOT ISFILTERED('DimPeriod'[PeriodGroup]), ""All project periods"", IF(MinYear = MaxYear, FORMAT(MinYear, ""0""), FORMAT(MinYear, ""0"") & ""-"" & FORMAT(MaxYear, ""0"")))",DimPeriod,SRC_P1_MANIFEST,Visual check,Period filters,Display text only,PUBLIC_SAFE_PROJECT_METADATA
DAX032,Dynamic text,Dashboard Overall Status,Controlled current-status statement,General,"""Phase 1 complete and independently validated. Phase 2 measurement, cohort construction, historical analyses, and primary race M1-M3 estimation complete; primary gender M1 complete. Remaining primary and sensitivity analyses and the final independent analytical-release audit are pending.""",FactAnalyticalStatus,SRC_PAUSE,Must match pause checkpoint wording,None,Does not claim analytical-release completion,PUBLIC_SAFE_PROJECT_METADATA
